President,avg_AoA,biggest_words,biggest_words_definitions,smallest_words,smallest_words_definitions,biggest_sentence,biggest_sentence_rating,biggest_sentence_before,biggest_sentence_after,smallest_sentence,smallest_sentence_rating,smallest_sentence_before,smallest_sentence_after
Richard Nixon,7.122860916860920,"['impotence', 'bipartisan', 'inflationary', 'outmoded', 'pragmatic']","['the quality of lacking strength or power; being weak and feeble', 'supported by both sides', 'associated with or tending to cause increases in inflation', 'make unfashionable, outdated, or obsolete', 'an imperial decree that becomes part of the fundamental law of the land']","['water', 'count', 'mother', 'hand', 'bad']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency']","The Federal Government will still have a large and vital role to play in
achieving our national progress.",7.591000000000000,"Neither the President nor the Congress nor the
conscience of this Nation can permit money which comes from all the people
to be used in a way which discriminates against some of the people.","Established functions that are clearly and
essentially Federal in nature will still be performed by the Federal
Government.",Never has it mattered more that we go forward together.,3.37,"Let us see that the path we are traveling is wide, with room in it for all
of us, and that its direction is toward a better Nation and a more peaceful
world.",Look at this Chamber.
Rutherford B. Hayes,8.135259165613150,"['indemnity', 'amalgamation', 'arrears', 'assiduity', 'efficacious']","['protection against future loss', 'the combination of two or more commercial companies', 'the state of being behind in payments', 'great and constant diligence and attention', 'marked by qualities giving the power to produce an intended effect; -Aldous Huxley']","['water', 'happy', 'hand', 'ask', 'see']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'inquire about', ""the seat within a bishop's diocese where his cathedral is located""]","Wherever general
education is found, peace, virtue, and social order prevail and civil and
religious liberty are secure.",8.69090909090909,"Whatever Government can fairly do
to promote free popular education ought to be done.","In my former annual messages I have asked the attention of Congress to the
urgent necessity of a reformation of the civil-service system of the
Government.","The States of Louisiana, Mississippi, and Tennessee have suffered
severely.",3.72,"It was rapidly spread by fugitives
from the infected cities and towns, and did not disappear until early in
November.","About 100,000 cases are believed to have occurred, of which about
20,000, according to intelligent estimates, proved fatal."
James Monroe,7.9295965517241400,"['indemnity', 'stipend', 'commissariat', 'rapacity', 'sanguine']","['protection against future loss', 'a sum of money allotted on a regular basis; usually for some specific purpose', 'a stock or supply of foods', 'extreme gluttony', 'a blood-red color']","['happy', 'hand', 'ask', 'door', 'see']","['enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'inquire about', 'a swinging or sliding barrier that will close the entrance to a room or building or vehicle', ""the seat within a bishop's diocese where his cathedral is located""]","Incapable of exercising local authority except for general purposes, the
General Government will no longer be dreaded.",8.392222222222220,"The impracticability of one consolidated Government for this great and
growing nation will be more apparent and will be universally admitted.","In those cases of a local
nature and for all the great purposes for which it was instituted its
authority will be cherished.","With the Barbary States and the Indian tribes our pacific relations have
been preserved.",3.72,"A strong hope is
entertained that, by adhering to the maxims of a just, a candid, and
friendly policy, we may long preserve amicable relations with all the
powers of Europe on conditions advantageous and honorable to our country.","In calling your attention to the internal concerns of our country the view
which they exhibit is peculiarly gratifying."
Calvin Coolidge,7.960240482123200,"['repudiate', 'palliative', 'panacea', 'adjudication', 'preponderance']","['cast off', 'remedy that alleviates pain without curing', '(Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia', 'the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented', 'superiority in power or influence']","['water', 'shoe', 'hand', 'bad', 'stop']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency', 'the event of something ending']","Revision of procedure of the Federal Trade Commission will give more
constructive purpose to this department.",9.403,"Legislation and regulations establishing load liner, to provide safe
loading of vessels leaving our ports are necessary and recodification of
our navigation laws is vital.","If our Alaskan fisheries are to be saved from destruction, there must be
further legislation declaring a general policy and delegating the authority
to make rules and regulations to an administrative body.","Three-quarters of our people are now served
by these routes.",3.52,"Provision has been made for lighting
4,000 miles more during the current fiscal year and equipping an equal
mileage with radio facilities.","With the rapid growth of air mail, express, and passenger
service, this new transportation medium is daily becoming a more important
factor in commerce."
Andrew Johnson,7.654973428448320,"['sagacity', 'rostrum', 'repudiate', 'indemnity', 'amalgamation']","['the mental ability to understand and discriminate between relations', 'a platform raised above the surrounding level to give prominence to the person on it', 'cast off', 'protection against future loss', 'the combination of two or more commercial companies']","['water', 'count', 'mother', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","The measures of retrenchment in
each bureau and branch of the service exhibit a diligent economy worthy
of commendation.",10.55,"The war estimates are reduced from $516,240,131 to
$33,814,461, which amount, in the opinion of the Department, is
adequate for a peace establishment.","Reference is also made in the report to the necessity
of providing for a uniform militia system and to the propriety of
making suitable provision for wounded and disabled officers and
soldiers.","No longer are we called
upon to get America moving.",3.17,"Most important of all, in this period, the United States has reemerged into
the fullness of its self-confidence and purpose.",We are moving.
Zachary Taylor,8.161355327686140,"['indemnity', 'inculcation', 'sedulous', 'plenipotentiary', 'requisite']","['protection against future loss', 'teaching or impressing upon the mind by frequent instruction or repetition', 'marked by care and persistent effort', 'a diplomat who is fully authorized to represent his or her government', 'anything indispensable']","['happy', 'hand', 'ask', 'house', 'small']","['enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'inquire about', 'a dwelling that serves as living quarters for one or more families', 'the slender part of the back']","I recommend a revision of the existing tariff and its adjustment on a basis
which may augment the revenue.",10.468888888888900,"I recommend the observance of strict economy in the
appropriation and expenditure of public money.","I do not doubt the right or duty of Congress
to encourage domestic industry, which is the great source of national as
well as individual wealth and prosperity.",Such is the result of the labors of those who have gone before us.,5.970000000000000,"The predictions of evil prophets, who formerly pretended
to foretell the downfall of our institutions, are now remembered only to be
derided, and the United States of America at this moment present to the
world the most stable and permanent Government on earth.","Upon
Congress will eminently depend the future maintenance of our system of free
government and the transmission of it unimpaired to posterity."
Martin Van Buren,8.053105132578700,"['palliation', 'indemnity', 'sanguine', 'unalloyed', 'banditti']","['easing the severity of a pain or a disease without removing the cause', 'protection against future loss', 'a blood-red color', 'free from admixture', 'an armed thief who is (usually) a member of a band']","['water', 'count', 'happy', 'hand', 'eat']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'take in solid food']","This discretionary
power might be continued if Congress deem it desirable, whatever general
system be adopted.",8.862222222222220,"This plan is to some extent in accordance with the
practice of the Government and with the present arrangements of the
Treasury Department, which, except, perhaps, during the operation of the
late deposit act, has always been allowed, even during the existence of a
national bank, to make a temporary use of the State banks in particular
places for the safe-keeping of portions of the revenue.","So long as the connection is voluntary we need, perhaps,
anticipate few of those difficulties and little of that dependence on the
banks which must attend every such connection when compulsory in its nature
and when so arranged as to make the banks a fixed part of the machinery of
government.","These measures have been attended thus
far with the happiest results.",3.72,"Liberal prices were given and provisions inserted in all the treaties with
them for the application of the funds they received in exchange to such
purposes as were best calculated to promote their present welfare and
advance their future civilization.","It will be seen by referring to the report of the Commissioner of Indian
Affairs that the most sanguine expectations of the friends and promoters of
this system have been realized."
George Bush Sr.,7.143724130686000,"['rostrum', 'codify', 'tort', 'bipartisan', 'nanotechnology']","['a platform raised above the surrounding level to give prominence to the person on it', 'organize into a code or system, such as a body of law', '(law) any wrongdoing for which an action for damages may be brought', 'supported by both sides', 'the branch of engineering that deals with things smaller than 100 nanometers (especially with the manipulation of individual molecules)']","['mom', 'water', 'daddy', 'dad', 'mother']","['informal terms for a mother', 'binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'an informal term for a father; probably derived from baby talk', 'an informal term for a father; probably derived from baby talk', 'a woman who has given birth to a child (also used as a term of address to your mother)']","We must extend American leadership in technology,
increase long-term investment, improve our educational system, and boost
productivity.",8.762727272727270,"We must take actions today that
will ensure a better tomorrow.","These are the keys to building a better future, and here are some
of my recommendations:

I propose almost $2.2 billion for the National Science Foundation to promote
basic research and keep us on track to double its budget by 1993.","And so tonight, I'm going to ask something of every one of you.",2.89,"And to them belongs this new world I've been speaking
about.","Now let me
start with my generation, with the grandparents out there."
Bill Clinton,6.844751298027000,"['arrears', 'bipartisan', 'nonproliferation', 'outmoded', 'globalization']","['the state of being behind in payments', 'supported by both sides', 'the prevention of something increasing or spreading (especially the prevention of an increase in the number of countries possessing nuclear weapons)', 'make unfashionable, outdated, or obsolete', 'growth to a global or worldwide scale']","['water', 'mother', 'happy', 'hand', 'bad']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency']","We should double our bipartisan GEAR UP program to mentor 1.4 million
disadvantaged young people for college.",8.260000000000000,"And
again, to help build or modernize 6,000 schools, to get students out of
trailers and into high-tech classrooms.","And let's offer these students a
chance to take the same college test-prep courses wealthier students use to
boost their test scores.","Today, too many of those people are being left out.",3.52,"If we want it to stay that way, those who work and lift our nation must
have more of its benefits.","They're working harder
for less."
Andrew Jackson,7.987420294546040,"['obviate', 'emolument', 'indemnity', 'debenture', 'contravene']","['do away with', 'compensation received by virtue of holding an office or having employment (usually in the form of wages or fees)', 'protection against future loss', 'the ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future', 'go against, as of rules and laws']","['count', 'mother', 'happy', 'hand', 'bad']","['the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency']","The want of this equitable distribution
can not fail to prove a prolific source of irritation among the States.",8.738888888888890,"That such improvements, on account of particular circumstances, may be
more advantageously and beneficially made in some States than in others
is doubtless true, but that they are of a character which should
prevent an equitable distribution of the funds amongst the several
States is not to be conceded.","We have it constantly before our eyes that professions of superior zeal
in the cause of internal improvement and a disposition to lavish the
public funds upon objects of this character are daily and earnestly put
forth by aspirants to power as constituting the highest claims to the
confidence of the people.",The Florida archives have not yet been selected and delivered.,3.72,"If
the present condition of the country permits the Government to make a
careful and enlarged examination of the true interests of these
important portions of its dominions, no doubt is entertained that their
future intercourse with the United States will be placed upon a more
just and liberal basis.","Recent
orders have been sent to the agent of the United States at Havana to
return with all that he can obtain, so that they may be in Washington
before the session of the Supreme Court, to be used in the legal
questions there pending to which the Government is a party."
